Time,Latidude,D,Longitude,D,Altitude,U
152825.086,3921.5444,N,11234.5661,W,1404.5,M
152827.000,3921.5438,N,11234.5656,W,1408.1,M
152828.000,3921.5434,N,11234.5657,W,1410.7,M
152829.000,3921.5434,N,11234.5656,W,1411.7,M
152830.000,3921.5431,N,11234.5657,W,1413.7,M
152831.000,3921.5427,N,11234.5654,W,1415.1,M
152832.000,3921.5421,N,11234.5649,W,1417.0,M
152833.000,3921.5416,N,11234.5647,W,1418.7,M
152834.000,3921.5411,N,11234.5645,W,1420.2,M
152835.000,3921.5406,N,11234.5643,W,1422.3,M
152836.000,3921.5400,N,11234.5641,W,1424.2,M
152837.000,3921.5396,N,11234.5638,W,1425.8,M
152838.000,3921.5392,N,11234.5637,W,1427.4,M
152839.000,3921.5387,N,11234.5635,W,1429.1,M
152840.000,3921.5383,N,11234.5633,W,1430.4,M
152841.000,3921.5379,N,11234.5630,W,1432.1,M
152842.000,3921.5376,N,11234.5628,W,1433.4,M
152843.000,3921.5375,N,11234.5627,W,1434.2,M
152844.000,3921.5374,N,11234.5627,W,1434.8,M
152845.000,3921.5374,N,11234.5627,W,1435.1,M
152846.000,3921.5373,N,11234.5628,W,1435.3,M
152847.000,3921.5373,N,11234.5629,W,1435.0,M
152848.000,3921.5374,N,11234.5631,W,1434.7,M
152849.000,3921.5376,N,11234.5633,W,1434.2,M
152850.000,3921.5379,N,11234.5634,W,1433.8,M
152851.000,3921.5381,N,11234.5636,W,1433.0,M
152852.000,3921.5382,N,11234.5638,W,1432.1,M
152853.000,3921.5384,N,11234.5639,W,1431.0,M
152854.000,3921.5385,N,11234.5640,W,1430.1,M
152855.000,3921.5386,N,11234.5642,W,1429.4,M
152856.000,3921.5388,N,11234.5643,W,1428.8,M
152857.000,3921.5389,N,11234.5643,W,1428.1,M
152858.000,3921.5391,N,11234.5644,W,1427.3,M
152859.000,3921.5391,N,11234.5644,W,1427.3,M
152900.000,3921.5391,N,11234.5644,W,1427.3,M
152901.000,3921.5391,N,11234.5644,W,1427.2,M
152902.000,3921.5391,N,11234.5644,W,1427.2,M
152903.000,3921.5391,N,11234.5644,W,1427.2,M
152904.000,3921.5391,N,11234.5644,W,1427.2,M
152905.000,3921.5391,N,11234.5644,W,1427.2,M
152906.000,3921.5391,N,11234.5644,W,1427.2,M
152907.000,3921.5391,N,11234.5644,W,1427.2,M
152908.000,3921.5391,N,11234.5644,W,1427.2,M
152909.000,3921.5392,N,11234.5644,W,1427.1,M
152910.000,3921.5392,N,11234.5644,W,1427.1,M
152911.000,3921.5392,N,11234.5644,W,1427.1,M
152912.000,3921.5392,N,11234.5644,W,1427.1,M
152913.000,3921.5392,N,11234.5644,W,1427.1,M
152914.000,3921.5392,N,11234.5644,W,1427.1,M
152915.000,3921.5392,N,11234.5644,W,1427.1,M
152916.000,3921.5392,N,11234.5644,W,1427.1,M
152917.000,3921.5392,N,11234.5644,W,1427.1,M
152918.000,3921.5392,N,11234.5644,W,1427.1,M
152919.000,3921.5392,N,11234.5644,W,1427.1,M
152920.000,3921.5392,N,11234.5644,W,1427.1,M
152921.000,3921.5392,N,11234.5644,W,1427.2,M
152922.000,3921.5392,N,11234.5644,W,1427.1,M
152923.000,3921.5392,N,11234.5644,W,1427.1,M
152924.000,3921.5392,N,11234.5643,W,1427.1,M
152925.000,3921.5392,N,11234.5643,W,1427.1,M
152926.000,3921.5392,N,11234.5644,W,1427.1,M
152927.000,3921.5392,N,11234.5644,W,1427.1,M
152928.000,3921.5392,N,11234.5644,W,1427.1,M
152929.000,3921.5392,N,11234.5643,W,1427.1,M
152930.000,3921.5392,N,11234.5643,W,1427.1,M
152931.000,3921.5392,N,11234.5643,W,1427.1,M
152932.000,3921.5392,N,11234.5644,W,1427.1,M
152933.000,3921.5392,N,11234.5644,W,1427.1,M
152934.000,3921.5392,N,11234.5643,W,1427.1,M
152935.000,3921.5392,N,11234.5644,W,1427.0,M
152936.000,3921.5392,N,11234.5644,W,1427.0,M
152937.000,3921.5392,N,11234.5644,W,1427.0,M
152938.000,3921.5392,N,11234.5644,W,1427.0,M
152939.000,3921.5392,N,11234.5644,W,1427.0,M
152940.000,3921.5392,N,11234.5644,W,1427.0,M
152941.000,3921.5392,N,11234.5643,W,1426.9,M
152942.000,3921.5392,N,11234.5644,W,1426.9,M
152943.000,3921.5392,N,11234.5643,W,1426.9,M
152944.000,3921.5392,N,11234.5643,W,1426.9,M
152945.000,3921.5392,N,11234.5643,W,1426.9,M
152946.000,3921.5392,N,11234.5643,W,1426.9,M
152947.000,3921.5392,N,11234.5643,W,1426.9,M
152948.000,3921.5392,N,11234.5643,W,1426.9,M
152949.000,3921.5392,N,11234.5643,W,1426.9,M
152950.000,3921.5392,N,11234.5643,W,1426.9,M
152951.000,3921.5392,N,11234.5643,W,1426.9,M
152952.000,3921.5392,N,11234.5643,W,1426.9,M
152953.000,3921.5392,N,11234.5643,W,1426.9,M
152954.000,3921.5392,N,11234.5643,W,1426.9,M
152955.000,3921.5392,N,11234.5643,W,1426.9,M
152956.000,3921.5392,N,11234.5643,W,1426.9,M
152957.000,3921.5392,N,11234.5643,W,1426.9,M
152958.000,3921.5392,N,11234.5643,W,1426.9,M
152959.000,3921.5392,N,11234.5643,W,1426.9,M
