time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
646,0.91,1.39,-9.54,509
1681,0.91,1.35,-9.54,509
2705,0.91,1.39,-9.54,509
3729,0.24,1.24,-9.46,509
4753,0.50,1.47,-9.42,509
5777,1.10,1.50,-9.58,509
6801,0.76,1.35,-9.77,509
7825,0.91,1.54,-9.69,509
8849,1.14,0.98,-9.66,509
9873,0.99,1.17,-9.54,509
10897,0.91,1.35,-9.62,509
11922,0.80,1.13,-9.50,509
12946,1.03,1.32,-9.73,509
13970,1.03,1.13,-9.77,509
time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
36,1.03,0.98,-9.69,509
1060,1.70,3.08,-10.31,509
2092,0.80,1.05,-9.54,509
3116,0.80,1.35,-9.62,509
4140,0.84,1.20,-9.66,509
5164,0.88,1.39,-9.77,509
6188,0.76,1.32,-9.58,509
7212,0.84,1.28,-9.62,509
8236,0.88,1.28,-9.66,509
9260,0.88,1.28,-9.62,509
10284,0.84,1.28,-9.66,509
11308,0.84,1.28,-9.66,509
12332,0.88,1.28,-9.66,509
13356,0.84,1.28,-9.62,509
14380,0.88,1.32,-9.69,509
15404,0.88,1.32,-9.62,509
16428,0.88,1.32,-9.69,509
17453,0.84,1.32,-9.66,509
18477,0.91,1.32,-9.62,509
19501,0.88,1.28,-9.62,509
20525,0.95,1.28,-9.58,509
21549,0.88,1.32,-9.62,509
22579,0.88,1.28,-9.58,509
23603,0.84,1.32,-9.62,509
24627,0.88,1.35,-9.58,509
25663,0.84,1.28,-9.58,509
26687,0.88,1.32,-9.62,509
27711,0.84,1.50,-9.73,509
28735,0.91,1.32,-9.62,509
29759,0.88,1.35,-9.66,509
30784,0.88,1.32,-9.62,509
31808,0.88,1.24,-9.42,509
32832,0.84,1.32,-9.66,509
33856,0.88,1.32,-9.54,509
34880,0.88,1.32,-9.62,509
35904,0.88,1.43,-9.42,509
36928,0.91,1.32,-9.66,509
37952,0.91,1.32,-9.58,509
38976,0.91,1.28,-9.62,509
40000,0.88,1.35,-9.35,509
41025,0.91,1.28,-9.54,509
42055,0.88,1.32,-9.62,509
43079,0.91,1.32,-9.62,509
44103,0.91,1.32,-9.58,509
45127,0.88,1.32,-9.62,509
46151,0.88,1.39,-9.73,509
47175,0.88,1.32,-9.58,509
48199,0.28,1.35,-9.66,509
49223,0.35,-0.37,-9.27,509
50247,0.84,1.47,-9.62,509
51283,0.91,1.28,-9.69,509
52307,0.88,1.32,-9.58,509
53331,0.84,1.35,-9.58,509
54356,0.95,1.32,-9.58,509
55380,0.84,1.20,-9.46,509
56404,0.84,1.32,-9.62,509
57428,0.88,1.32,-9.54,509
